2017-06-17T22:58:37Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 110.045, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.51, eth_avg_shares_per_card: 535.25, dcr_total_speed: 973.572, dcr_total_shares: 6161, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.39, dcr_avg_shares_per_card: 1540.25
2017-06-17T22:58:47Z02:00, machine: minr, avg_temp: 67.75, avg_fan: 55.5, eth_total_speed: 110.112, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.53, eth_avg_shares_per_card: 535.25, dcr_total_speed: 974.424, dcr_total_shares: 6163, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.61, dcr_avg_shares_per_card: 1540.75
2017-06-17T22:58:57Z02:00, machine: minr, avg_temp: 67.75, avg_fan: 55.5, eth_total_speed: 109.993, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.5, eth_avg_shares_per_card: 535.25, dcr_total_speed: 972.988, dcr_total_shares: 6165, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.25, dcr_avg_shares_per_card: 1541.25
2017-06-17T22:59:07Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.961, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 535.25, dcr_total_speed: 972.419, dcr_total_shares: 6166, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.1, dcr_avg_shares_per_card: 1541.5
2017-06-17T22:59:17Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 110.099, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.52, eth_avg_shares_per_card: 535.25, dcr_total_speed: 974.238, dcr_total_shares: 6169, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.56, dcr_avg_shares_per_card: 1542.25
2017-06-17T22:59:27Z02:00, machine: minr, avg_temp: 67.75, avg_fan: 55.5, eth_total_speed: 109.946, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 535.25, dcr_total_speed: 972.157, dcr_total_shares: 6171, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.04, dcr_avg_shares_per_card: 1542.75
2017-06-17T22:59:37Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 110.010, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.5, eth_avg_shares_per_card: 535.25, dcr_total_speed: 973.128, dcr_total_shares: 6174, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.28, dcr_avg_shares_per_card: 1543.5
2017-06-17T22:59:47Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.247, eth_total_shares: 2141, eth_total_rejected: 0, eth_avg_speed_per_card: 27.31, eth_avg_shares_per_card: 535.25, dcr_total_speed: 963.815, dcr_total_shares: 6174, dcr_total_rejected: 88, dcr_avg_speed_per_card: 240.95, dcr_avg_shares_per_card: 1543.5
2017-06-17T22:59:57Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.358, eth_total_shares: 2142, eth_total_rejected: 0, eth_avg_speed_per_card: 27.34, eth_avg_shares_per_card: 535.5, dcr_total_speed: 965.524, dcr_total_shares: 6175, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.38, dcr_avg_shares_per_card: 1543.75
2017-06-17T23:00:08Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 108.712, eth_total_shares: 2142, eth_total_rejected: 0, eth_avg_speed_per_card: 27.18, eth_avg_shares_per_card: 535.5, dcr_total_speed: 957.424, dcr_total_shares: 6175, dcr_total_rejected: 88, dcr_avg_speed_per_card: 239.36, dcr_avg_shares_per_card: 1543.75
